                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2963,                 1.0728,                  1.444,                0.65993,                0.50303,                0.57858,                 0.3087,                 1.6876,                 1.6329,                 1.8537,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.3103,                 1.0882,                 1.4431,                0.68054,                 0.5229,                0.60087,                 0.3284,                 1.6342,                 1.5441,                 1.7692,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2847,                 1.0406,                 1.4431,                0.77614,                 0.5253,                0.65508,                0.37779,                 1.5191,                 1.3229,                 1.6839,               0.001769,               0.001769,               0.001769
                     37,                 1.2414,                 1.0158,                 1.4219,                0.67536,                 0.5303,                0.61255,                0.35121,                 1.5972,                 1.4848,                 1.6785,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2685,                 1.0234,                 1.3909,                0.67084,                0.52424,                0.62381,                0.34699,                  1.576,                 1.4288,                 1.6855,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.3004,                 1.0758,                  1.444,                0.57942,                0.53939,                0.56639,                0.30224,                 1.6955,                 1.6534,                 1.8059,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.2763,                 1.0563,                 1.4245,                0.63249,                0.54545,                0.56602,                0.30941,                 1.5949,                 1.6623,                 1.7812,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.2662,                 1.0312,                 1.4112,                0.69139,                0.48788,                 0.5787,                0.31934,                 1.6429,                 1.6561,                 1.8084,               0.001736,               0.001736,               0.001736
                     42,                 1.2689,                 1.0583,                 1.4356,                0.70835,                0.49312,                0.61219,                0.33438,                 1.6283,                 1.6386,                  1.753,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.2342,                 1.0046,                 1.4094,                0.69231,                0.56061,                0.64129,                0.35439,                 1.6346,                 1.3175,                 1.7395,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.2649,                 1.0132,                 1.4032,                0.60544,                0.62121,                0.65324,                0.36552,                 1.5948,                 1.3089,                 1.6929,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.2467,                0.99677,                 1.4092,                0.56907,                0.45152,                0.47697,                0.22785,                 1.9524,                 2.0573,                 2.1033,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.2262,                0.97129,                 1.3847,                0.57345,                0.59394,                0.59658,                0.35137,                 1.6309,                 1.5509,                 1.7552,               0.001703,               0.001703,               0.001703
                     47,                 1.2029,                0.98146,                 1.3916,                 0.7458,                 0.5697,                0.63737,                0.37435,                 1.5681,                 1.5277,                 1.6599,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1888,                0.92032,                 1.3682,                0.63359,                0.60909,                0.63269,                0.36515,                 1.5974,                 1.3852,                 1.7072,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.1713,                0.92671,                 1.3468,                0.65354,                0.60593,                0.64822,                0.35775,                 1.6941,                 1.4403,                 1.7577,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.2039,                0.94269,                 1.3776,                0.54005,                0.52121,                 0.5341,                0.28006,                 1.7292,                  1.643,                 1.7897,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1476,                0.90385,                 1.3344,                0.75026,                0.54545,                0.65958,                0.38648,                 1.5197,                 1.2794,                 1.6711,                0.00167,                0.00167,                0.00167
                     52,                 1.1728,                0.91794,                  1.347,                0.65776,                0.58485,                0.60765,                0.34167,                 1.5898,                 1.4214,                 1.7272,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.1534,                0.89755,                 1.3318,                0.60621,                0.65455,                0.64952,                0.38608,                 1.4676,                 1.3305,                 1.6315,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.1453,                0.85909,                 1.3288,                 0.6976,                0.57879,                0.64075,                 0.3842,                 1.4831,                 1.3864,                 1.6713,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1433,                0.89137,                 1.3403,                0.64043,                0.52424,                0.59103,                0.33816,                 1.5979,                 1.4861,                 1.7597,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.1118,                0.86018,                 1.3024,                0.68607,                0.64239,                0.68961,                0.41602,                 1.5513,                 1.1449,                 1.6882,               0.001637,               0.001637,               0.001637
                     57,                 1.0916,                0.82579,                 1.2864,                0.63701,                0.59394,                0.64837,                0.36019,                 1.6058,                 1.2449,                 1.7099,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.0933,                0.84903,                 1.2869,                0.64948,                0.51212,                0.54508,                0.29628,                 1.7613,                 1.5869,                 1.8734,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.1121,                0.87183,                  1.315,                0.72935,                0.53333,                0.64318,                 0.3629,                 1.5495,                 1.3363,                 1.6446,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0876,                0.83283,                 1.2885,                0.72795,                0.55949,                0.66171,                0.36755,                 1.5138,                   1.33,                 1.6399,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0969,                 0.8181,                 1.2842,                0.65884,                0.59091,                0.65655,                0.38361,                 1.5593,                 1.3111,                  1.696,               0.001604,               0.001604,               0.001604
                     62,                 1.1025,                0.82114,                 1.2934,                0.66538,                0.64848,                0.67701,                0.39508,                 1.5123,                  1.317,                 1.6586,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.1138,                0.83326,                 1.3157,                0.67436,                0.59394,                0.65492,                0.38341,                 1.5076,                 1.2608,                 1.6384,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0996,                0.82702,                 1.3035,                0.73432,                0.61515,                0.69586,                0.40863,                  1.485,                 1.2226,                 1.6484,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0705,                 0.8113,                 1.2854,                0.71553,                0.57928,                0.64041,                0.34307,                 1.6625,                 1.2959,                 1.7141,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0746,                0.80774,                 1.2787,                0.73906,                 0.5697,                0.67746,                0.40046,                 1.5535,                 1.2523,                 1.6828,               0.001571,               0.001571,               0.001571
                     67,                 1.0455,                0.79506,                  1.257,                0.72456,                0.63771,                0.73237,                0.42787,                 1.4732,                 1.1385,                 1.6272,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0522,                0.80297,                 1.2523,                 0.6684,                0.61693,                0.68897,                0.40513,                 1.4789,                 1.2279,                 1.6506,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0511,                 0.7908,                 1.2564,                0.73918,                 0.5697,                 0.6792,                0.39524,                 1.4506,                 1.2691,                 1.6551,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0106,                0.75287,                 1.2458,                0.65532,                0.68182,                0.70228,                0.42411,                 1.4605,                 1.2153,                 1.6429,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0391,                0.77083,                 1.2677,                0.67834,                0.65183,                0.68511,                0.40353,                 1.5327,                 1.2845,                 1.7017,               0.001538,               0.001538,               0.001538
                     72,                 1.0313,                0.77181,                  1.259,                0.76397,                0.59832,                0.69916,                0.41899,                 1.4307,                  1.194,                 1.5912,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0252,                0.76367,                  1.235,                0.58379,                0.56061,                0.59122,                 0.3444,                 1.5977,                 1.4248,                 1.7184,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0392,                 0.7566,                 1.2387,                0.71419,                0.61818,                0.69772,                0.40474,                 1.5167,                 1.2995,                 1.6337,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0277,                0.72575,                 1.2346,                0.71954,                0.61417,                0.69234,                0.41871,                 1.4422,                 1.2123,                 1.6024,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0099,                0.72689,                 1.2326,                0.69952,                0.59697,                0.67325,                0.39131,                 1.5302,                 1.3123,                 1.6769,               0.001505,               0.001505,               0.001505
                     77,                 1.0314,                0.73551,                 1.2708,                0.69789,                0.62727,                0.69973,                0.41939,                 1.4288,                  1.149,                 1.6362,              0.0014984,              0.0014984,              0.0014984
                     78,                  1.013,                0.74131,                 1.2268,                0.66729,                0.69892,                0.70374,                0.40435,                 1.6048,                 1.1874,                 1.7757,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.0091,                0.71871,                 1.2353,                0.69686,                 0.6697,                0.69876,                0.39935,                 1.5702,                 1.2801,                 1.7245,              0.0014852,              0.0014852,              0.0014852
                     80,                0.96942,                0.67923,                 1.1953,                0.73179,                0.63636,                0.69369,                0.40232,                 1.5473,                 1.2173,                 1.7345,              0.0014786,              0.0014786,              0.0014786
                     81,                0.97272,                0.69296,                 1.1946,                 0.7596,                0.65152,                0.71442,                0.41984,                 1.4598,                 1.2182,                 1.6668,               0.001472,               0.001472,               0.001472
                     82,                0.93053,                0.64668,                 1.1838,                  0.729,                0.63583,                0.69434,                0.41141,                 1.4642,                 1.4783,                  1.632,              0.0014654,              0.0014654,              0.0014654
                     83,                0.95099,                0.68991,                 1.2066,                0.73564,                0.55455,                0.65293,                0.38813,                 1.4837,                 1.3662,                   1.67,              0.0014588,              0.0014588,              0.0014588
                     84,                0.93724,                0.68716,                 1.1909,                0.75461,                0.66163,                0.71298,                0.42313,                 1.4663,                 1.0953,                 1.6164,              0.0014522,              0.0014522,              0.0014522
                     85,                0.97159,                0.70715,                 1.2274,                0.72547,                0.61661,                0.70501,                0.41572,                 1.4299,                 1.1628,                  1.627,              0.0014456,              0.0014456,              0.0014456
                     86,                0.93312,                0.67449,                 1.2051,                0.75448,                0.68485,                0.72807,                0.42259,                 1.4896,                  1.112,                 1.6521,               0.001439,               0.001439,               0.001439
                     87,                0.92086,                 0.6482,                 1.1851,                 0.7491,                0.55455,                0.64203,                0.36287,                 1.6331,                 1.3847,                  1.731,              0.0014324,              0.0014324,              0.0014324
                     88,                0.93146,                0.67306,                 1.1824,                0.73548,                0.63193,                0.68845,                0.41176,                 1.5063,                  1.189,                   1.63,              0.0014258,              0.0014258,              0.0014258
                     89,                0.91655,                 0.6619,                 1.1925,                0.66573,                0.63368,                0.69394,                0.41319,                 1.4466,                 1.1289,                 1.5958,              0.0014192,              0.0014192,              0.0014192
