                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1967,                0.92324,                 1.2163,                0.76118,                0.56364,                0.65133,                0.36665,                 1.5621,                 1.3032,                 1.4866,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.1851,                0.91945,                 1.2004,                0.72173,                0.62424,                0.67387,                0.38839,                 1.5867,                 1.3057,                 1.5298,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1867,                0.91107,                 1.2145,                0.72732,                0.65758,                0.71503,                 0.4376,                 1.4225,                 1.2358,                 1.3719,               0.001769,               0.001769,               0.001769
                     37,                  1.181,                0.89786,                 1.1968,                0.67643,                0.65455,                0.69179,                0.39286,                 1.5655,                 1.2664,                 1.4493,              0.0017624,              0.0017624,              0.0017624
                     38,                  1.164,                0.87572,                  1.194,                0.70977,                0.66695,                0.69871,                0.41709,                 1.4863,                 1.1528,                 1.4569,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.1736,                 0.9081,                 1.2106,                0.73245,                0.59394,                0.66336,                0.39373,                 1.4443,                 1.2428,                 1.3868,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1749,                 0.9182,                 1.2077,                0.68858,                0.65455,                0.69733,                0.41544,                 1.4912,                 1.2737,                 1.4088,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1822,                0.88837,                  1.192,                0.76175,                0.66364,                 0.7227,                0.42806,                 1.4631,                 1.1792,                 1.3542,               0.001736,               0.001736,               0.001736
                     42,                  1.164,                0.88575,                 1.1935,                0.70144,                0.50549,                0.58218,                0.32851,                 1.6051,                 1.5955,                 1.4945,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1627,                0.88483,                 1.1908,                0.86362,                0.55455,                0.71172,                0.41009,                 1.4879,                 1.3379,                 1.4053,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1648,                  0.864,                 1.1858,                0.79927,                0.62744,                0.74705,                0.44604,                 1.4692,                 1.0814,                 1.3853,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1298,                0.86557,                 1.1898,                0.75043,                0.63333,                0.71918,                0.42397,                 1.4752,                 1.2258,                 1.4431,              0.0017096,              0.0017096,              0.0017096
