                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2984,                 1.0845,                 1.4042,                0.68205,                0.57576,                0.64185,                0.36153,                 1.4498,                 1.4147,                 1.5616,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.324,                 1.1024,                 1.4155,                0.72624,                0.55455,                0.64913,                0.37962,                 1.4828,                 1.4847,                 1.5789,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2824,                 1.0721,                 1.4213,                 0.7091,                0.61818,                0.68022,                0.37855,                 1.4811,                    1.4,                 1.5476,               0.001769,               0.001769,               0.001769
                     37,                 1.2703,                 1.0619,                 1.4121,                0.62624,                0.53939,                0.59839,                0.32325,                 1.6357,                  1.507,                 1.6704,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2947,                 1.0509,                 1.3893,                0.48897,                0.45232,                0.43176,                0.22963,                  1.764,                 1.8624,                 1.7266,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.2943,                   1.12,                 1.4371,                 0.6646,                 0.5164,                0.61219,                0.33849,                  1.541,                 1.7044,                 1.6408,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.2843,                 1.0831,                 1.4149,                0.70057,                0.59556,                0.64737,                0.38649,                 1.4595,                 1.3965,                 1.5198,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.2175,                 1.0211,                   1.36,                0.66246,                0.60606,                0.63862,                0.38137,                 1.4784,                 1.4939,                 1.6048,               0.001736,               0.001736,               0.001736
                     42,                  1.244,                 1.0399,                 1.3977,                0.63211,                0.61212,                  0.636,                0.36464,                 1.4612,                 1.3958,                 1.5648,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.2024,                0.98421,                 1.3516,                0.69476,                    0.6,                0.64141,                0.36531,                 1.5659,                 1.3068,                 1.5973,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.2508,                 1.0166,                 1.3696,                0.68118,                0.49205,                0.56881,                0.29151,                 1.7923,                 1.5368,                 1.7518,              0.0017162,              0.0017162,              0.0017162
